,address,lat,lng
0,128 S PEARSON AVE WAVERLY KS,38.3881013,-95.6002458
1,600 BROADWAY LONGVIEW WA,46.137124,-122.9243774
2,595 W CAROLINA AVE VARNVILLE SC,32.8527725,-81.0900387
3,11113 RESEARCH BOULEVARD AUSTIN TX,30.4053348,-97.74430149999999
4,901 US HIGHWAY 83 N CHILDRESS TX,34.4392524,-100.2268949
5,300 SINGLETON RIDGE RD CONWAY SC,33.78555,-79.0017843
6,420 N JAMES RD COLUMBUS OH,39.9804983,-82.9097917
7,14550 OLD ST AUGUSTINE RD JACKSONVILLE FL,30.13758,-81.53538689999999
8,1401 SOUTH J STREET FORT SMITH AR,35.3734623,-94.4288554
9,3701 EAST MAIN WEATHERFORD OK,35.5392793,-98.6622072
10,1720 TERMINO AVE LONG BEACH CA,33.788768,-118.1448173
11,1 HEROES WAY RIVERHEAD NY,40.9347614,-72.6741961
12,1407 WHISENANT DRIVE DUNCAN OK,34.5200971,-97.9760087
13,3828 DELMAS TER CULVER CITY CA,34.0232001,-118.3969128
14,34800 BOB WILSON DRIVE SAN DIEGO CA,32.7275036,-117.1461949
15,301 WEST EXPRESSWAY 83 MCALLEN TX,26.18677,-98.225912
16,520 S MAPLE AVE OAK PARK IL,41.878649,-87.80316979999999
17,305 N MAIN ST ENNIS MT,45.35154740000001,-111.7320962
18,890 MADISON AVENUE 4TH FLOOR MEMPHIS TN,35.1408577,-90.03154699999999
19,168 S HOWELL STREET HILLSDALE MI,41.9120325,-84.6330333
20,4300 WEST SEVENTH STREET LITTLE ROCK AR,34.7360105,-92.3216808
21,8001 W 5TH BOWDLE SD,45.4482503,-99.66190309999999
22,403 FIRST STREET SE BELMOND IA,42.8455436,-93.6128365
23,1950 SOUTH HAWTHORNE RD WINSTON-SALEM NC,36.0789071,-80.29609649999999
24,927 WEST CHURCHILL STREET STILLWATER MN,45.04752879999999,-92.8175569
25,50 N PERRY ST PONTIAC MI,42.6385262,-83.2908175
26,"200 PERRY HOUSE ROAD, BOX 1447 FITZGERALD GA",31.6977043,-83.2598161
27,15103 N PENNSYLVANIA AVE EDMOND OK,35.6240951,-97.55004079999999
28,603 CHESTNUT ST S ELLENSBURG WA,46.9872177,-120.537885
29,130 BRENTWOOD DR CHESTER CA,40.3059655,-121.2340758
30,1087 DENNISON AVENUE COLUMBUS OH,39.984153,-83.00898649999999
31,550 UNIVERSITY BLVD INDIANAPOLIS IN,39.7759306,-86.17616
32,2255 S 88TH ST LOUISVILLE CO,39.9520207,-105.1480533
33,1495 FRAZIER ROAD RUSTON LA,32.5770307,-92.6020673
34,101 NORTH MAIN STREET COUPEVILLE WA,48.2138464,-122.6843334
35,15630 18TH AVE CLEARLAKE CA,38.9356064,-122.6202387
36,4141 SHORE DR INDIANAPOLIS IN,39.8300284,-86.2772754
37,1859 VAN BUREN ST HOLLYWOOD FL,26.0098991,-80.1441667
38,606 BLACK RIVER RD GEORGETOWN SC,33.3798134,-79.28475329999999
39,6166 N DURANGO DRIVE LAS VEGAS NV,36.275139,-115.2801469
40,800 SO. LOWER SACRAMENTO ROAD LODI CA,38.1238368,-121.305638
41,919 E 32ND STREET AUSTIN TX,30.2899658,-97.72653419999999
42,745 POPLAR ROAD NEWNAN GA,33.3582943,-84.7558138
43,1906 BELLEVIEW AVENUE ROANOKE VA,37.2513308,-79.941906
44,3615 19TH STREET LUBBOCK TX,33.5769234,-101.8918876
45,"111 DALLAS STREET, 4TH FLOOR SAN ANTONIO TX",29.4333051,-98.4924434
46,1447 N HARRISON SAGINAW MI,43.4284033,-83.956069
47,3073 PANTHERSVILLE ROAD DECATUR GA,33.6949098,-84.27252709999999
48,529 CAPP HARLAN ROAD TOMPKINSVILLE KY,36.6987974,-85.67639439999999
49,916 PACIFIC AVE EVERETT WA,47.97551319999999,-122.216715
50,10655 STEEPLETOP DRIVE HOUSTON TX,29.92804049999999,-95.58899140000001
51,9575 ETHAN WADE WAY SE SNOQUALMIE WA,47.5145119,-121.8264657
52,205 HOLLOW TREE LANE HOUSTON TX,30.0251119,-95.4356785
53,639 WEST MAIN STREET BARNESVILLE OH,39.992998,-81.1889599
54,3360 BURNS RD PALM BEACH GARDENS FL,26.8294567,-80.0868409
55,438 W LAS TUNAS DR SAN GABRIEL CA,34.100917,-118.1055926
56,5900 BROCKTON AVE RIVERSIDE CA,33.9623256,-117.3953431
57,445 LENOX ROAD BROOKLYN NY,40.6550034,-73.9442519
58,911 N SHELBY ST SALEM IN,38.6132502,-86.1071817
59,2707 L STREET ORD NE,41.6019516,-98.9427329
60,855 6TH ST LOVELOCK NV,40.1760004,-118.482108
61,4000 MIAMISBURG CENTERVILLE RD MIAMISBURG OH,39.6375421,-84.248541
62,28062 BAXTER ROAD MURRIETA CA,33.6147303,-117.1698557
63,85 EAST US HWY 6 VALPARAISO IN,41.5521213,-87.050157
64,10000 TELEGRAPH ROAD TAYLOR MI,42.2353589,-83.2768364
65,2380 MCGINLEY ROAD MONROEVILLE PA,40.424788,-79.7459629
66,"4201 MEDICAL CENTER DRIVE MCHENRY; 3701 DOTY ROAD, WOODSTOCK MCHENRY IL",42.3162973,-88.2781265
67,8901 ROCKVILLE PIKE BETHESDA MD,39.0008659,-77.0936169
68,8201 W BROWARD BLVD PLANTATION FL,26.1238741,-80.25948729999999
69,1346 EAST MCDOWELL ROAD PHOENIX AZ,33.4662692,-112.0531239
70,200 HOSPITAL CIR WESTMINSTER CA,33.7636566,-117.9952777
71,59213 RIVER WEST DRIVE PLAQUEMINE LA,30.2634743,-91.24319690000002
72,15101 EAST FREEWAY CHANNELVIEW TX,29.7745568,-95.1447396
73,8201 HEALTHCARE LOOP CHARLOTTE NC,35.223025,-80.6483794
74,618 SOUTH MAIN ST REIDSVILLE NC,36.3530072,-79.6681907
75,671 HOES LANE WEST PISCATAWAY NJ,40.5256218,-74.4706265
76,1500 LINE AVENUE SHREVEPORT LA,32.4974247,-93.74684979999999
77,5601 S COUNTY LINE ROAD HINSDALE IL,41.7861765,-87.91532289999999
78,508 GREENE STREET GREENSBORO AL,32.695468,-87.5869252
79,3840 HOMESTEAD RD SANTA CLARA CA,37.3363237,-122.0018666
80,900 ILLINOIS AVE STEVENS POINT WI,44.5267124,-89.5671536
81,250 SCENIC HIGHWAY LAWRENCEVILLE GA,33.94248779999999,-83.9895081
82,1 CHILDREN'S PLAZA DAYTON OH,39.7589478,-84.1916069
83,2018 PULLIAM STREET SAN ANGELO TX,31.4722169,-100.4032359
84,1000 CARONDELET DRIVE KANSAS CITY MO,38.9348578,-94.60384280000001
85,801 POLE LINE RD W TWIN FALLS ID,42.5906171,-114.4961829
86,1266 HIGHWAY 515 SOUTH JASPER GA,34.4462228,-84.4469675
87,"5301 E HURON RIVER DR, 7TH FL YPSILANTI MI",42.2651046,-83.654958
88,2101 E DUBOIS DR WARSAW IN,41.2482028,-85.8282869
89,255 NORTH WELCH AVENUE PRIMGHAR IA,43.0887574,-95.6235351
90,508 VICTORIA LANE HARLINGEN TX,26.1597253,-97.6727423
91,75 PARK STREET ELIZABETHTOWN NY,44.2157828,-73.5960064
92,2510 N CALIFORNIA STREET STOCKTON CA,37.9766712,-121.2911122
93,4015 22ND PLACE LUBBOCK TX,33.5738671,-101.9004506
94,2001 DWIGHT WAY BERKELEY CA,37.8640724,-122.2687119
95,4100 COVERT AVE EVANSVILLE IN,37.9564571,-87.5006075
96,427 WEST MAIN STREET GARDNER KS,38.8099496,-94.937933
97,209 N CUTHBERT STREET COLQUITT GA,31.1753732,-84.7353924
98,8000 DEVEREUX DRIVE VIERA FL,28.2346713,-80.70862079999999
99,1 MILE EAST ON US HIGHWAY 270 FORT SUPPLY OK,36.5736693,-99.5757661
